Rank,Artist,Predicted_Score,In_My_Playlist,Adjusted_Score,Adjusted_Rank
5,Caribou,21.944624803714078,1,24.070795632285492,1
8,Chat Pile,18.46863979086504,1,21.637606123291164,2
9,Charli xcx,16.946427539529846,1,20.57205754735653,3
1,LCD Soundsystem,29.03186089895213,0,20.32230262926649,4
2,BIG SPECIAL,24.533801170330975,0,17.17366081923168,5
3,FKA twigs,23.29989041973727,0,16.309923293816087,6
22,Clairo,10.08417824567258,1,15.768483041656445,7
4,The Mars Volta,22.205053236947958,0,15.54353726586357,8
6,Jane Remover,21.83001140756195,0,15.281007985293364,9
7,The Jesus Lizard,21.685935569120392,0,15.180154898384274,10
29,Chappell Roan,9.128659910172843,1,15.099620206806629,11
33,Nilüfer Yanya,8.81613079505748,1,14.880849826225875,12
38,IDLES,8.564150019255072,1,14.704463283164188,13
51,Allie X,7.611241832329979,1,14.037427552316624,14
54,Denzel Curry,7.194975124859398,1,13.746040857087216,15
55,Beach House,6.970329450327439,1,13.588788884914845,16
67,Parcels,5.946449697889573,1,12.87207305820834,17
10,Floating Points,16.852492972765386,0,11.79674508093577,18
11,TV On The Radio,15.289894424925693,0,10.702926097447985,19
12,Sturgill Simpson,14.619773865465339,0,10.233841705825737,20
13,damoridemort,14.408278260658223,0,10.085794782460756,21
14,beabadoobee,13.663639304514794,0,9.564547513160354,22
15,Youth Lagoon,13.023406524644306,0,9.116384567251014,23
16,Fontaines D.C.,12.707728283144709,0,8.895409798201296,24
17,Turnstile,11.572853548670894,0,8.100997484069625,25
18,HAIM,10.931039868604307,0,7.651727908023014,26
19,Nadah El Shazly,10.343867176412541,0,7.2407070234887785,27
20,Tristwch Y Fenywod,10.30780675694274,0,7.215464729859918,28
21,George Thorogood & The Destroyers,10.180473553163747,0,7.126331487214622,29
23,Amelie Lens,9.892336861236736,0,6.924635802865715,30
24,Jawnino,9.879351749350057,0,6.915546224545039,31
25,Spiritualized,9.733719328748315,0,6.81360353012382,32
26,Kim Deal,9.594258434093227,0,6.715980903865258,33
27,Pipiolas,9.460472026291153,0,6.622330418403807,34
28,Real Farmer,9.354311123706873,0,6.548017786594811,35
30,Mohama Saz,9.12150763889265,0,6.385055347224855,36
31,Lambrini Girls,8.955864554412747,0,6.269105188088923,37
32,salem ilese,8.908337820961153,0,6.235836474672807,38
34,MJ Lenderman,8.813108823476743,0,6.169176176433719,39
35,Stereolab,8.687195629566826,0,6.081036940696778,40
36,Wet Leg,8.592315709084763,0,6.0146209963593344,41
37,Magdalena Bay,8.580698356087135,0,6.006488849260994,42
39,Nathan Shepherd,8.364716859808713,0,5.855301801866099,43
40,Brutalismus 3000,8.36101441084433,0,5.8527100875910305,44
41,Aminé,8.253734094617933,0,5.777613866232553,45
42,feeble little horse,8.081849527867913,0,5.657294669507539,46
43,Warmduscher,8.01774210603369,0,5.612419474223583,47
44,Armand Van Helden,8.004495787665032,0,5.603147051365522,48
45,Horsegirl,7.915450091199345,0,5.540815063839541,49
46,Dehd,7.883352384149933,0,5.518346668904953,50
47,Fcukers,7.814114467756746,0,5.469880127429722,51
48,KNEECAP,7.7997580349765165,0,5.459830624483561,52
49,Kelly Lee Owens,7.752121109941488,0,5.426484776959041,53
50,Christopher Owens,7.643212273575164,0,5.350248591502615,54
52,Sam & Dave,7.486108376046725,0,5.240275863232707,55
53,Machine Girl,7.353999371723243,0,5.14779956020627,56
56,Cat Power,6.884306511228562,0,4.819014557859993,57
57,Young Beefy,6.737383082048882,0,4.716168157434217,58
58,Sailor Honeymoon,6.723902509374425,0,4.706731756562097,59
59,Peter Doherty,6.517563766841767,0,4.562294636789237,60
60,Royish Good Looks,6.350958154533202,0,4.445670708173241,61
61,Jamie xx,6.29384635147396,0,4.405692446031772,62
62,underscores,6.0533003760142785,0,4.237310263209995,63
63,Los Campesinos!,6.026577804977633,0,4.2186044634843425,64
64,Alan Sparhawk,6.0226626514887815,0,4.215863856042147,65
65,Waxahatchee,5.981222027789021,0,4.186855419452314,66
66,Julien Bam,5.975138485139419,0,4.182596939597593,67
68,Amaia Montero,5.752543823197571,0,4.0267806762383,68
69,Christian Lee Hutson,5.437851942029572,0,3.8064963594207,69
70,Seefeel,5.269773896365018,0,3.688841727455512,70
71,Squidji,4.817207063767399,0,3.3720449446371794,71
72,Carolina Durante,4.77692722661603,0,3.3438490586312204,72
73,New Road,4.4880066316861695,0,3.1416046421803183,73
74,Black Country,4.4880066316861695,0,3.1416046421803183,74
75,Soul 'n Jazz Tree,4.282294441174694,0,2.997606108822286,75
76,HUIR,3.806844910709259,0,2.664791437496481,76
77,Michael Bibi,3.4208941702706754,0,2.3946259191894725,77
78,Sabrina Carpenter,3.198913638021154,0,2.2392395466148076,78
79,Jazz and Cappuccino Production,2.424719582036465,0,1.6973037074255253,79
